trip_id,driver_id,date,day_of_week,day_of_week_num,week_number,month,is_weekend,stop_order,stop_name,latitude,longitude,visit_time,visit_hour,visit_duration,total_stops,route_distance_km,avg_speed_kmh,driver_efficiency,traffic_category
6,D1,2025-11-11,Tuesday,1,46,11,0,7,Manipur_Center,23.005,72.498,12:48,12,14,9,20.27,32,0.92,medium
6,D1,2025-11-11,Tuesday,1,46,11,0,8,Thaltej_Outlet,23.0566,72.5013,13:15,13,25,9,26.02,32,0.92,medium
6,D1,2025-11-11,Tuesday,1,46,11,0,9,Dhandhuka_Branch,22.392,72.01,16:58,16,25,9,115.46,32,0.92,low
7,D1,2025-11-12,Wednesday,2,46,11,0,1,Bapunagar_Store,23.0441,72.6204,09:04,9,29,6,0.0,32,0.92,high
7,D1,2025-11-12,Wednesday,2,46,11,0,2,Gomtipur_Center,23.0415,72.6397,09:38,9,14,6,2.0,32,0.92,high
7,D1,2025-11-12,Wednesday,2,46,11,0,3,Lambha_Branch,22.9467,72.5745,10:25,10,16,6,14.47,32,0.92,high
7,D1,2025-11-12,Wednesday,2,46,11,0,4,Jodhpur_Shop,23.0137,72.5212,11:06,11,23,6,23.71,32,0.92,low
7,D1,2025-11-12,Wednesday,2,46,11,0,5,Satellite_Branch,23.0258,72.5099,11:32,11,18,6,25.48,32,0.92,low
7,D1,2025-11-12,Wednesday,2,46,11,0,6,Shela_Outlet,23.0269,72.4651,12:00,12,14,6,30.07,32,0.92,medium
8,D1,2025-11-13,Thursday,3,46,11,0,1,Hathijan_Center,22.954,72.6527,09:03,9,16,7,0.0,32,0.92,high
8,D1,2025-11-13,Thursday,3,46,11,0,2,Narol_Shop,22.9582,72.6205,09:29,9,19,7,3.33,32,0.92,high
8,D1,2025-11-13,Thursday,3,46,11,0,3,Odhav_Outlet,22.9979,72.646,10:03,10,23,7,8.46,32,0.92,high
8,D1,2025-11-13,Thursday,3,46,11,0,4,Motera_Shop,23.1014,72.5872,11:07,11,23,7,21.44,32,0.92,low
8,D1,2025-11-13,Thursday,3,46,11,0,5,Prahlad_Nagar_Store,23.0177,72.5108,11:53,11,26,7,33.6,32,0.92,low
8,D1,2025-11-13,Thursday,3,46,11,0,6,Ambli_Center,23.0437,72.4828,12:28,12,26,7,37.67,32,0.92,medium
8,D1,2025-11-13,Thursday,3,46,11,0,7,Viramgam_Shop,23.1169,72.0341,14:46,14,13,7,84.28,32,0.92,low
9,D1,2025-11-17,Monday,0,47,11,0,1,Amraiwadi_Shop,23.0257,72.6216,09:17,9,10,6,0.0,32,0.92,high
9,D1,2025-11-17,Monday,0,47,11,0,2,Dariapur_Branch,23.0357,72.584,09:37,9,19,6,4.01,32,0.92,high
9,D1,2025-11-17,Monday,0,47,11,0,3,CG_Road_Outlet,23.0322,72.5562,10:05,10,33,6,6.88,32,0.92,high
9,D1,2025-11-17,Monday,0,47,11,0,4,Bopal_Branch,23.0344,72.4618,11:08,11,19,6,16.54,32,0.92,low
9,D1,2025-11-17,Monday,0,47,11,0,5,Lambha_Branch,22.9467,72.5745,11:55,11,12,6,31.65,32,0.92,low
9,D1,2025-11-17,Monday,0,47,11,0,6,Chandkheda_Store,23.1146,72.5877,12:47,12,12,6,50.36,32,0.92,medium
10,D1,2025-11-18,Tuesday,1,47,11,0,1,Vastrapur_Shop,23.0351,72.5297,08:05,8,31,8,0.0,32,0.92,high
10,D1,2025-11-18,Tuesday,1,47,11,0,2,Ambli_Center,23.0437,72.4828,08:51,8,36,8,4.89,32,0.92,high
10,D1,2025-11-18,Tuesday,1,47,11,0,3,Ghatlodia_Branch,23.0796,72.5611,09:56,9,25,8,13.84,32,0.92,high
10,D1,2025-11-18,Tuesday,1,47,11,0,4,Gomtipur_Center,23.0415,72.6397,10:47,10,16,8,22.93,32,0.92,high
10,D1,2025-11-18,Tuesday,1,47,11,0,5,Odhav_Outlet,22.9979,72.646,11:12,11,12,8,27.82,32,0.92,low
10,D1,2025-11-18,Tuesday,1,47,11,0,6,Maninagar_Outlet,22.9993,72.601,11:33,11,24,8,32.43,32,0.92,low
10,D1,2025-11-18,Tuesday,1,47,11,0,7,Dholka_Store,22.7186,72.4683,12:57,12,39,8,66.48,32,0.92,medium
10,D1,2025-11-18,Tuesday,1,47,11,0,8,Mandal_Outlet,23.2439,72.3021,15:49,15,24,8,127.32,32,0.92,low
11,D1,2025-11-19,Wednesday,2,47,11,0,1,Bopal_Branch,23.0344,72.4618,08:18,8,26,7,0.0,32,0.92,high
11,D1,2025-11-19,Wednesday,2,47,11,0,2,Thaltej_Outlet,23.0566,72.5013,08:56,8,37,7,4.74,32,0.92,high
11,D1,2025-11-19,Wednesday,2,47,11,0,3,Detroj_Center,23.3182,72.3074,11:15,11,30,7,39.93,32,0.92,low
11,D1,2025-11-19,Wednesday,2,47,11,0,4,Navrangpura_Store,23.0395,72.5603,12:59,12,42,7,80.29,32,0.92,medium
11,D1,2025-11-19,Wednesday,2,47,11,0,5,Maninagar_Outlet,22.9993,72.601,13:54,13,22,7,86.4,32,0.92,medium
11,D1,2025-11-19,Wednesday,2,47,11,0,6,Vatva_Store,22.9641,72.6385,14:26,14,37,7,91.88,32,0.92,low
11,D1,2025-11-19,Wednesday,2,47,11,0,7,Gomtipur_Center,23.0415,72.6397,15:17,15,44,7,100.49,32,0.92,low
12,D1,2025-11-20,Thursday,3,47,11,0,1,Bavla_Store,22.9346,72.3752,10:09,10,45,7,0.0,32,0.92,high
12,D1,2025-11-20,Thursday,3,47,11,0,2,Bopal_Branch,23.0344,72.4618,11:32,11,36,7,14.2,32,0.92,low
12,D1,2025-11-20,Thursday,3,47,11,0,3,Satellite_Branch,23.0258,72.5099,12:20,12,34,7,19.22,32,0.92,medium
12,D1,2025-11-20,Thursday,3,47,11,0,4,Lambha_Branch,22.9467,72.5745,13:19,13,21,7,30.22,32,0.92,medium
12,D1,2025-11-20,Thursday,3,47,11,0,5,Vinzol_Shop,22.9772,72.6575,14:01,14,29,7,39.37,32,0.92,low
12,D1,2025-11-20,Thursday,3,47,11,0,6,Odhav_Outlet,22.9979,72.646,14:35,14,10,7,41.96,32,0.92,low
12,D1,2025-11-20,Thursday,3,47,11,0,7,Gomtipur_Center,23.0415,72.6397,14:54,14,23,7,46.85,32,0.92,low
13,D1,2025-11-21,Friday,4,47,11,0,1,Naroda_Center,23.0715,72.6536,08:21,8,29,9,0.0,32,0.92,high
13,D1,2025-11-21,Friday,4,47,11,0,2,Rakhial_Branch,23.0494,72.6266,09:00,9,22,9,3.7,32,0.92,high
13,D1,2025-11-21,Friday,4,47,11,0,3,Bapunagar_Store,23.0441,72.6204,09:24,9,12,9,4.56,32,0.92,high
13,D1,2025-11-21,Friday,4,47,11,0,4,Amraiwadi_Shop,23.0257,72.6216,09:42,9,40,9,6.61,32,0.92,high
13,D1,2025-11-21,Friday,4,47,11,0,5,Khadia_Outlet,23.0279,72.5952,10:30,10,14,9,9.33,32,0.92,high
13,D1,2025-11-21,Friday,4,47,11,0,6,Ellisbridge_Shop,23.024,72.568,10:53,10,22,9,12.14,32,0.92,high
13,D1,2025-11-21,Friday,4,47,11,0,7,Juhapura_Store,23.0039,72.5393,11:22,11,34,9,15.83,32,0.92,low
13,D1,2025-11-21,Friday,4,47,11,0,8,Narol_Shop,22.9582,72.6205,12:14,12,25,9,25.58,32,0.92,medium
13,D1,2025-11-21,Friday,4,47,11,0,9,Vinzol_Shop,22.9772,72.6575,12:48,12,10,9,29.91,32,0.92,medium
14,D1,2025-11-24,Monday,0,48,11,0,1,Prahlad_Nagar_Store,23.0177,72.5108,09:21,9,43,6,0.0,32,0.92,high
14,D1,2025-11-24,Monday,0,48,11,0,2,Jodhpur_Shop,23.0137,72.5212,10:07,10,30,6,1.15,32,0.92,high
14,D1,2025-11-24,Monday,0,48,11,0,3,Juhapura_Store,23.0039,72.5393,10:45,10,38,6,3.3,32,0.92,high
14,D1,2025-11-24,Monday,0,48,11,0,4,Khadia_Outlet,23.0279,72.5952,11:35,11,42,6,9.62,32,0.92,low
14,D1,2025-11-24,Monday,0,48,11,0,5,Ghatlodia_Branch,23.0796,72.5611,12:32,12,45,6,16.34,32,0.92,medium
14,D1,2025-11-24,Monday,0,48,11,0,6,Lambha_Branch,22.9467,72.5745,13:50,13,20,6,31.18,32,0.92,medium
15,D1,2025-11-26,Wednesday,2,48,11,0,1,Vejalpur_Branch,22.9939,72.5502,10:02,10,18,9,0.0,32,0.92,high
15,D1,2025-11-26,Wednesday,2,48,11,0,2,Khadia_Outlet,23.0279,72.5952,10:36,10,34,9,5.96,32,0.92,high
15,D1,2025-11-26,Wednesday,2,48,11,0,3,Amraiwadi_Shop,23.0257,72.6216,11:15,11,23,9,8.67,32,0.92,low
15,D1,2025-11-26,Wednesday,2,48,11,0,4,Nikol_Center,23.0286,72.6387,11:41,11,36,9,10.45,32,0.92,low
15,D1,2025-11-26,Wednesday,2,48,11,0,5,Narol_Shop,22.9582,72.6205,12:35,12,39,9,18.5,32,0.92,medium
15,D1,2025-11-26,Wednesday,2,48,11,0,6,Memnagar_Center,23.0487,72.5449,13:42,13,23,9,31.19,32,0.92,medium
15,D1,2025-11-26,Wednesday,2,48,11,0,7,Ghatlodia_Branch,23.0796,72.5611,14:13,14,34,9,35.01,32,0.92,low
15,D1,2025-11-26,Wednesday,2,48,11,0,8,Chandkheda_Store,23.1146,72.5877,14:56,14,11,9,39.75,32,0.92,low
15,D1,2025-11-26,Wednesday,2,48,11,0,9,Sanand_Branch,22.9926,72.375,15:59,15,34,9,65.4,32,0.92,low
16,D1,2025-11-28,Friday,4,48,11,0,1,Vastral_Outlet,23.0189,72.6607,10:25,10,35,9,0.0,32,0.92,high
16,D1,2025-11-28,Friday,4,48,11,0,2,Odhav_Outlet,22.9979,72.646,11:05,11,39,9,2.78,32,0.92,low
16,D1,2025-11-28,Friday,4,48,11,0,3,Vatva_Store,22.9641,72.6385,11:52,11,44,9,6.61,32,0.92,low
16,D1,2025-11-28,Friday,4,48,11,0,4,Aslali_Outlet,22.9296,72.6364,12:44,12,35,9,10.46,32,0.92,medium
16,D1,2025-11-28,Friday,4,48,11,0,5,Lambha_Branch,22.9467,72.5745,13:34,13,11,9,17.07,32,0.92,medium
16,D1,2025-11-28,Friday,4,48,11,0,6,Navrangpura_Store,23.0395,72.5603,14:07,14,37,9,27.49,32,0.92,low
16,D1,2025-11-28,Friday,4,48,11,0,7,Motera_Shop,23.1014,72.5872,14:57,14,39,9,34.91,32,0.92,low
16,D1,2025-11-28,Friday,4,48,11,0,8,Ambli_Center,23.0437,72.4828,15:57,15,26,9,47.37,32,0.92,low
16,D1,2025-11-28,Friday,4,48,11,0,9,Dhandhuka_Branch,22.392,72.01,19:03,19,23,9,134.56,32,0.92,high
17,D1,2025-12-01,Monday,0,49,12,0,1,Amraiwadi_Shop,23.0257,72.6216,08:19,8,19,9,0.0,32,0.92,high
17,D1,2025-12-01,Monday,0,49,12,0,2,Kalupur_Center,23.0262,72.5963,08:45,8,40,9,2.59,32,0.92,high
17,D1,2025-12-01,Monday,0,49,12,0,3,Jamalpur_Store,23.022,72.59,09:27,9,23,9,3.39,32,0.92,high
17,D1,2025-12-01,Monday,0,49,12,0,4,Vejalpur_Branch,22.9939,72.5502,10:06,10,26,9,8.52,32,0.92,high
17,D1,2025-12-01,Monday,0,49,12,0,5,Lambha_Branch,22.9467,72.5745,10:50,10,20,9,14.33,32,0.92,high
17,D1,2025-12-01,Monday,0,49,12,0,6,Vatva_Store,22.9641,72.6385,11:23,11,17,9,21.16,32,0.92,low
17,D1,2025-12-01,Monday,0,49,12,0,7,Naroda_Center,23.0715,72.6536,12:04,12,20,9,33.2,32,0.92,medium
17,D1,2025-12-01,Monday,0,49,12,0,8,Chandkheda_Store,23.1146,72.5877,12:44,12,16,9,41.47,32,0.92,medium
17,D1,2025-12-01,Monday,0,49,12,0,9,Viramgam_Shop,23.1169,72.0341,15:09,15,29,9,98.09,32,0.92,low
18,D1,2025-12-03,Wednesday,2,49,12,0,1,Ghatlodia_Branch,23.0796,72.5611,08:16,8,31,9,0.0,32,0.92,high
18,D1,2025-12-03,Wednesday,2,49,12,0,2,Shahpur_Outlet,23.0302,72.5847,09:02,9,36,9,6.0,32,0.92,high
18,D1,2025-12-03,Wednesday,2,49,12,0,3,Khadia_Outlet,23.0279,72.5952,09:42,9,16,9,7.1,32,0.92,high
18,D1,2025-12-03,Wednesday,2,49,12,0,4,Maninagar_Outlet,22.9993,72.601,10:07,10,33,9,10.34,32,0.92,high
18,D1,2025-12-03,Wednesday,2,49,12,0,5,Vatva_Store,22.9641,72.6385,10:57,10,39,9,15.82,32,0.92,high
18,D1,2025-12-03,Wednesday,2,49,12,0,6,Hathijan_Center,22.954,72.6527,11:40,11,37,9,17.66,32,0.92,low
18,D1,2025-12-03,Wednesday,2,49,12,0,7,Rakhial_Branch,23.0494,72.6266,12:40,12,43,9,28.6,32,0.92,medium
18,D1,2025-12-03,Wednesday,2,49,12,0,8,Satellite_Branch,23.0258,72.5099,13:53,13,27,9,40.83,32,0.92,medium
18,D1,2025-12-03,Wednesday,2,49,12,0,9,Dholka_Store,22.7186,72.4683,15:26,15,44,9,75.25,32,0.92,low
19,D1,2025-12-04,Thursday,3,49,12,0,1,Rakhial_Branch,23.0494,72.6266,09:05,9,41,9,0.0,32,0.92,high
19,D1,2025-12-04,Thursday,3,49,12,0,2,Naroda_Center,23.0715,72.6536,09:56,9,26,9,3.7,32,0.92,high
19,D1,2025-12-04,Thursday,3,49,12,0,3,Kalupur_Center,23.0262,72.5963,10:44,10,27,9,11.43,32,0.92,high
19,D1,2025-12-04,Thursday,3,49,12,0,4,Ghatlodia_Branch,23.0796,72.5611,11:24,11,43,9,18.37,32,0.92,low
19,D1,2025-12-04,Thursday,3,49,12,0,5,Chandkheda_Store,23.1146,72.5877,12:19,12,15,9,23.12,32,0.92,medium
19,D1,2025-12-04,Thursday,3,49,12,0,6,Thaltej_Outlet,23.0566,72.5013,12:57,12,36,9,34.06,32,0.92,medium
19,D1,2025-12-04,Thursday,3,49,12,0,7,Lambha_Branch,22.9467,72.5745,14:05,14,25,9,48.4,32,0.92,low
19,D1,2025-12-04,Thursday,3,49,12,0,8,Narol_Shop,22.9582,72.6205,14:40,14,41,9,53.28,32,0.92,low
19,D1,2025-12-04,Thursday,3,49,12,0,9,Viramgam_Shop,23.1169,72.0341,17:17,17,11,9,115.82,32,0.92,high
20,D1,2025-12-05,Friday,4,49,12,0,1,Motera_Shop,23.1014,72.5872,10:17,10,31,6,0.0,32,0.92,high
20,D1,2025-12-05,Friday,4,49,12,0,2,Ghatlodia_Branch,23.0796,72.5611,10:58,10,39,6,3.61,32,0.92,high
20,D1,2025-12-05,Friday,4,49,12,0,3,Memnagar_Center,23.0487,72.5449,11:44,11,26,6,7.42,32,0.92,low
20,D1,2025-12-05,Friday,4,49,12,0,4,Khadia_Outlet,23.0279,72.5952,12:22,12,22,6,13.06,32,0.92,medium
20,D1,2025-12-05,Friday,4,49,12,0,5,Vatva_Store,22.9641,72.6385,13:02,13,44,6,21.43,32,0.92,medium
20,D1,2025-12-05,Friday,4,49,12,0,6,Shilaj_Store,23.0603,72.4871,14:32,14,21,6,40.26,32,0.92,low
21,D1,2025-12-08,Monday,0,50,12,0,1,Shela_Outlet,23.0269,72.4651,08:09,8,10,7,0.0,32,0.92,high
21,D1,2025-12-08,Monday,0,50,12,0,2,Jamalpur_Store,23.022,72.59,08:59,8,18,7,12.79,32,0.92,high
21,D1,2025-12-08,Monday,0,50,12,0,3,Maninagar_Outlet,22.9993,72.601,09:25,9,13,7,15.56,32,0.92,high
21,D1,2025-12-08,Monday,0,50,12,0,4,Isanpur_Store,22.9754,72.6186,09:47,9,18,7,18.77,32,0.92,high
21,D1,2025-12-08,Monday,0,50,12,0,5,Aslali_Outlet,22.9296,72.6364,10:22,10,41,7,24.18,32,0.92,high
21,D1,2025-12-08,Monday,0,50,12,0,6,Chandkheda_Store,23.1146,72.5877,11:40,11,10,7,45.34,32,0.92,low
21,D1,2025-12-08,Monday,0,50,12,0,7,Dholka_Store,22.7186,72.4683,13:17,13,40,7,91.04,32,0.92,medium
22,D1,2025-12-09,Tuesday,1,50,12,0,1,Prahlad_Nagar_Store,23.0177,72.5108,08:03,8,45,9,0.0,32,0.92,high
22,D1,2025-12-09,Tuesday,1,50,12,0,2,CG_Road_Outlet,23.0322,72.5562,09:03,9,24,9,4.92,32,0.92,high
22,D1,2025-12-09,Tuesday,1,50,12,0,3,Shahpur_Outlet,23.0302,72.5847,09:37,9,34,9,7.84,32,0.92,high
22,D1,2025-12-09,Tuesday,1,50,12,0,4,Kalupur_Center,23.0262,72.5963,10:14,10,38,9,9.11,32,0.92,high
22,D1,2025-12-09,Tuesday,1,50,12,0,5,Isanpur_Store,22.9754,72.6186,11:10,11,37,9,15.2,32,0.92,low
22,D1,2025-12-09,Tuesday,1,50,12,0,6,Narol_Shop,22.9582,72.6205,11:50,11,13,9,17.13,32,0.92,low
22,D1,2025-12-09,Tuesday,1,50,12,0,7,Naroda_Center,23.0715,72.6536,12:33,12,16,9,30.17,32,0.92,medium
22,D1,2025-12-09,Tuesday,1,50,12,0,8,Chandkheda_Store,23.1146,72.5877,13:09,13,23,9,38.44,32,0.92,medium
22,D1,2025-12-09,Tuesday,1,50,12,0,9,Viramgam_Shop,23.1169,72.0341,15:42,15,26,9,95.06,32,0.92,low
23,D1,2025-12-10,Wednesday,2,50,12,0,1,Vastral_Outlet,23.0189,72.6607,10:09,10,39,6,0.0,32,0.92,high
23,D1,2025-12-10,Wednesday,2,50,12,0,2,Dariapur_Branch,23.0357,72.584,11:09,11,24,6,8.07,32,0.92,low
23,D1,2025-12-10,Wednesday,2,50,12,0,3,Ambawadi_Branch,23.0329,72.5471,11:41,11,22,6,11.86,32,0.92,low
23,D1,2025-12-10,Wednesday,2,50,12,0,4,Satellite_Branch,23.0258,72.5099,12:11,12,44,6,15.74,32,0.92,medium
23,D1,2025-12-10,Wednesday,2,50,12,0,5,Prahlad_Nagar_Store,23.0177,72.5108,12:57,12,19,6,16.65,32,0.92,medium
23,D1,2025-12-10,Wednesday,2,50,12,0,6,Ghatlodia_Branch,23.0796,72.5611,13:37,13,19,6,25.24,32,0.92,medium
24,D1,2025-12-11,Thursday,3,50,12,0,1,Viramgam_Shop,23.1169,72.0341,10:12,10,27,6,0.0,32,0.92,high
24,D1,2025-12-11,Thursday,3,50,12,0,2,Prahlad_Nagar_Store,23.0177,72.5108,13:09,13,41,6,50.0,32,0.92,medium
24,D1,2025-12-11,Thursday,3,50,12,0,3,CG_Road_Outlet,23.0322,72.5562,14:00,14,12,6,54.92,32,0.92,low
24,D1,2025-12-11,Thursday,3,50,12,0,4,Bapunagar_Store,23.0441,72.6204,14:26,14,30,6,61.62,32,0.92,low
24,D1,2025-12-11,Thursday,3,50,12,0,5,Motera_Shop,23.1014,72.5872,15:10,15,11,6,68.84,32,0.92,low
24,D1,2025-12-11,Thursday,3,50,12,0,6,Aslali_Outlet,22.9296,72.6364,15:55,15,11,6,88.6,32,0.92,low
25,D1,2025-12-12,Friday,4,50,12,0,1,Juhapura_Store,23.0039,72.5393,09:21,9,16,8,0.0,32,0.92,high
25,D1,2025-12-12,Friday,4,50,12,0,2,Prahlad_Nagar_Store,23.0177,72.5108,09:47,9,31,8,3.3,32,0.92,high
25,D1,2025-12-12,Friday,4,50,12,0,3,Thaltej_Outlet,23.0566,72.5013,10:31,10,41,8,7.73,32,0.92,high
25,D1,2025-12-12,Friday,4,50,12,0,4,CG_Road_Outlet,23.0322,72.5562,11:23,11,35,8,13.97,32,0.92,low
25,D1,2025-12-12,Friday,4,50,12,0,5,Rakhial_Branch,23.0494,72.6266,12:13,12,45,8,21.42,32,0.92,medium
25,D1,2025-12-12,Friday,4,50,12,0,6,Nikol_Center,23.0286,72.6387,13:04,13,15,8,24.04,32,0.92,medium
25,D1,2025-12-12,Friday,4,50,12,0,7,Isanpur_Store,22.9754,72.6186,13:32,13,30,8,30.31,32,0.92,medium
25,D1,2025-12-12,Friday,4,50,12,0,8,Sanand_Branch,22.9926,72.375,14:46,14,35,8,55.32,32,0.92,low
26,D1,2025-12-16,Tuesday,1,51,12,0,1,Gomtipur_Center,23.0415,72.6397,08:08,8,45,6,0.0,32,0.92,high
26,D1,2025-12-16,Tuesday,1,51,12,0,2,Vastral_Outlet,23.0189,72.6607,09:02,9,28,6,3.31,32,0.92,high
26,D1,2025-12-16,Tuesday,1,51,12,0,3,Mirzapur_Shop,23.035,72.59,09:52,9,41,6,10.76,32,0.92,high
26,D1,2025-12-16,Tuesday,1,51,12,0,4,Ellisbridge_Shop,23.024,72.568,10:39,10,25,6,13.32,32,0.92,high
26,D1,2025-12-16,Tuesday,1,51,12,0,5,Lambha_Branch,22.9467,72.5745,11:21,11,29,6,21.94,32,0.92,low
26,D1,2025-12-16,Tuesday,1,51,12,0,6,Narol_Shop,22.9582,72.6205,12:00,12,45,6,26.82,32,0.92,medium
27,D1,2025-12-18,Thursday,3,51,12,0,1,Vastrapur_Shop,23.0351,72.5297,10:16,10,18,9,0.0,32,0.92,high
27,D1,2025-12-18,Thursday,3,51,12,0,2,Bodakdev_Center,23.0487,72.5155,10:40,10,27,9,2.1,32,0.92,high
27,D1,2025-12-18,Thursday,3,51,12,0,3,Satellite_Branch,23.0258,72.5099,11:13,11,36,9,4.71,32,0.92,low
